,totoff,vol,totbid,amount,last,low,high,open,avebid,aveoff,trade,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,ask1,ask2,ask3,ask4,ask5,ask6,ask7,ask8,ask9,ask10,bid_vol1,bid_vol2,bid_vol3,bid_vol4,bid_vol5,bid_vol6,bid_vol7,bid_vol8,bid_vol9,bid_vol10,ask_vol1,ask_vol2,ask_vol3,ask_vol4,ask_vol5,ask_vol6,ask_vol7,ask_vol8,ask_vol9,ask_vol10
93000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93003000,12280326.0,4236900.0,4787200.0,53151303.0,125000.0,124800.0,125500.0,125500.0,120100.0,129900.0,1605.0,124800.0,124700.0,124600.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,125000.0,125200.0,125300.0,125400.0,125500.0,125600.0,125700.0,125800.0,125900.0,126000.0,10600.0,6500.0,2300.0,38400.0,6700.0,4200.0,26300.0,98700.0,60800.0,53800.0,20300.0,6700.0,429500.0,2779400.0,611736.0,80800.0,98200.0,76700.0,43700.0,378000.0
93006000,13835056.0,4689412.0,4775588.0,58809544.0,124600.0,124600.0,125500.0,125500.0,120100.0,129500.0,1755.0,124600.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,125600.0,125700.0,125800.0,125900.0,88.0,41100.0,6700.0,4200.0,26300.0,101200.0,64500.0,53800.0,93200.0,46600.0,157530.0,28500.0,60600.0,695000.0,3505200.0,650836.0,81900.0,98200.0,78000.0,71200.0
93009000,14018656.0,5143012.0,4817588.0,64482906.0,124500.0,124500.0,125500.0,125500.0,120100.0,129500.0,1875.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,125300.0,125400.0,125500.0,125600.0,125700.0,125800.0,125900.0,126000.0,126100.0,126200.0,41088.0,7000.0,4200.0,26300.0,101200.0,69500.0,53800.0,93200.0,46600.0,27900.0,662430.0,3669800.0,677536.0,81900.0,98200.0,129700.0,75400.0,418500.0,43560.0,140400.0
93012000,14142076.0,5265730.0,4880770.0,66019333.0,125300.0,124500.0,125500.0,125500.0,120200.0,129500.0,1925.0,125000.0,124600.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,125300.0,125400.0,125500.0,125600.0,125700.0,125800.0,125900.0,126000.0,126100.0,126200.0,10200.0,1300.0,62770.0,7000.0,4200.0,26300.0,101200.0,101600.0,53800.0,93200.0,619130.0,3726120.0,684436.0,91500.0,98200.0,129700.0,75900.0,418500.0,46060.0,140400.0
93015000,15070276.0,5397730.0,4903970.0,67668507.0,124800.0,124500.0,125500.0,125500.0,120200.0,129300.0,1971.0,124600.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,124800.0,125100.0,125200.0,125300.0,125400.0,125500.0,125600.0,125700.0,125800.0,125900.0,13800.0,62770.0,7000.0,4200.0,26300.0,101200.0,101600.0,53800.0,93200.0,49600.0,387300.0,300.0,291800.0,652730.0,3804520.0,684536.0,93900.0,98600.0,132700.0,75900.0
93018000,15018520.0,5503230.0,4914470.0,68985066.0,124800.0,124500.0,125500.0,125500.0,120200.0,129300.0,1991.0,124600.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,125600.0,125700.0,28700.0,40370.0,7000.0,9200.0,35600.0,101200.0,102600.0,53800.0,93200.0,49600.0,289400.0,2200.0,36800.0,7300.0,297800.0,689830.0,3806920.0,598536.0,92500.0,98600.0
93021000,15056920.0,5670530.0,4999570.0,71072127.0,124800.0,124500.0,125500.0,125500.0,120200.0,129300.0,2026.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,125600.0,125700.0,132870.0,7000.0,9200.0,45600.0,101200.0,103300.0,53800.0,93200.0,49600.0,27900.0,189700.0,2200.0,137000.0,16300.0,287200.0,716930.0,3806720.0,573536.0,92500.0,98600.0
93024000,15082360.0,5729730.0,5279170.0,71810234.0,124600.0,124500.0,125500.0,125500.0,120500.0,129300.0,2056.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,395670.0,7000.0,9200.0,57200.0,101200.0,103300.0,53800.0,93200.0,49600.0,27900.0,11300.0,20000.0,161500.0,2200.0,143600.0,16300.0,287200.0,723430.0,3810620.0,571476.0
93027000,15293570.0,5834130.0,5241670.0,73111431.0,124800.0,124500.0,125500.0,125500.0,120400.0,129400.0,2105.0,124600.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,125600.0,13700.0,341870.0,7700.0,9200.0,59200.0,101200.0,103600.0,53800.0,93200.0,49600.0,3300.0,143600.0,2200.0,196900.0,16300.0,287200.0,723430.0,3809220.0,558276.0,82200.0
